time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-28T17:47:50.910Z,51.4858,178.2218,63.22,4.3,mb,,154,0.495,0.82,us,us2000bvit,2017-11-28T20:19:38.040Z,"55km SSW of Little Sitkin Island, Alaska",earthquake,7.5,6.2,0.052,104,reviewed,us,us
2017-11-28T17:38:00.800Z,18.5114,145.6127,186.69,5.2,mb,,31,4.946,0.83,us,us2000bvfp,2017-11-28T17:57:43.040Z,"28km SSW of Agrihan, Northern Mariana Islands",earthquake,7.9,4.2,0.029,386,reviewed,us,us
2017-11-28T17:35:13.400Z,33.506,-116.795,5.06,0.61,ml,24,66,0.007768,0.14,ci,ci37819535,2017-11-28T17:46:20.860Z,"10km NE of Aguanga, CA",earthquake,0.24,0.64,0.108,16,reviewed,ci,ci
2017-11-28T17:29:57.920Z,37.5513333,-118.8466667,1,0.24,md,7,300,0.04107,0.03,nc,nc72931850,2017-11-28T19:01:03.475Z,"15km SE of Mammoth Lakes, California",earthquake,0.91,31.61,0.226,6,reviewed,nc,nc
2017-11-28T17:08:02.010Z,36.597168,-121.1999969,2.51,1.78,md,14,126,0.02362,0.08,nc,nc72931805,2017-11-28T20:21:04.698Z,"22km NNE of Soledad, California",earthquake,0.37,0.6,0.23,12,automatic,nc,nc
2017-11-28T16:57:48.490Z,38.8434982,-122.8170013,0.26,0.97,md,17,76,0.0122,0.05,nc,nc72931800,2017-11-28T17:11:02.589Z,"8km WNW of Cobb, California",earthquake,0.2,0.5,0.19,5,automatic,nc,nc
2017-11-28T16:55:48.890Z,44.7906667,-110.7943333,4.3,0.97,md,9,202,0.04006,0.1,uu,uu60259952,2017-11-28T17:17:39.430Z,"28km ENE of West Yellowstone, Montana",earthquake,0.44,0.75,0.197,4,reviewed,uu,uu
2017-11-28T16:55:12.009Z,36.6893,-117.479,14,0.4,ml,5,264.96,0.405,0.1501,nn,nn00613793,2017-11-28T20:47:00.861Z,"53km E of Lone Pine, California",earthquake,,10.2,0.08,2,reviewed,nn,nn
2017-11-28T16:41:16.871Z,36.8013,-116.213,0,0.1,ml,11,80.5,0.074,0.1364,nn,nn00613761,2017-11-28T17:39:34.453Z,"50km ESE of Beatty, Nevada",earthquake,,0,0.73,6,reviewed,nn,nn
2017-11-28T16:24:08.110Z,37.6305008,-118.8676682,2.99,1.25,md,16,92,0.01208,0.03,nc,nc72931795,2017-11-28T18:36:02.417Z,"9km ESE of Mammoth Lakes, California",earthquake,0.39,0.43,0.12,13,automatic,nc,nc
2017-11-28T16:19:55.400Z,37.6508333,-118.9476667,3.69,0.33,md,10,123,0.035,0.06,nc,nc72931790,2017-11-28T18:08:02.883Z,"2km E of Mammoth Lakes, California",earthquake,0.35,0.88,0.237,8,reviewed,nc,nc
2017-11-28T16:12:06.070Z,33.5055,-116.798,5.11,0.44,ml,11,213,0.07836,0.07,ci,ci37819415,2017-11-28T18:26:46.230Z,"9km NE of Aguanga, CA",earthquake,0.36,0.78,0.119,7,reviewed,ci,ci
2017-11-28T16:01:25.680Z,33.4975,-116.7858333,6.22,0.82,ml,23,38,0.07893,0.14,ci,ci37819399,2017-11-28T17:22:13.220Z,"10km NE of Aguanga, CA",earthquake,0.22,0.91,0.117,26,reviewed,ci,ci
2017-11-28T16:00:43.464Z,63.5157,-147.9676,2.6,2,ml,,,,0.43,ak,ak17398500,2017-11-28T16:07:54.973Z,"50km ENE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-11-28T16:00:31.650Z,33.4906667,-116.787,5.13,0.54,ml,19,95,0.02435,0.07,ci,ci37819391,2017-11-28T18:21:38.109Z,"9km NE of Aguanga, CA",earthquake,0.16,0.53,0.131,10,reviewed,ci,ci
2017-11-28T15:53:13.070Z,36.9758,-115.9545,10.7,-0.2,ml,10,190.11,0.028,0.1742,nn,nn00613792,2017-11-28T20:40:45.387Z,"72km E of Beatty, Nevada",earthquake,,1.5,0.1,3,reviewed,nn,nn
2017-11-28T15:45:50.600Z,33.4935,-116.7878333,5.22,0.95,ml,31,34,0.08321,0.14,ci,ci37819375,2017-11-28T17:22:28.629Z,"9km NE of Aguanga, CA",earthquake,0.17,0.87,0.096,27,reviewed,ci,ci
2017-11-28T15:39:19.672Z,63.0388,-151.4113,0.1,2.5,ml,,,,1.2,ak,ak17398491,2017-11-28T15:56:48.040Z,"106km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-11-28T15:23:54.940Z,37.0428333,-112.8765,20.74,2.07,ml,10,123,0.05087,0.16,uu,uu60259947,2017-11-28T16:21:05.830Z,"9km ENE of Hildale, Utah",earthquake,0.51,1.04,0.37,2,reviewed,uu,uu
2017-11-28T14:58:48.870Z,38.882,-115.3154,2.6,1.5,ml,5,218.28,0.409,0.0446,nn,nn00613759,2017-11-28T17:08:28.252Z,"20km NE of Currant, Nevada",earthquake,,6.6,0.21,2,reviewed,nn,nn
2017-11-28T14:46:19.419Z,61.1799,-150.7272,18.2,1.9,ml,,,,0.42,ak,ak17398399,2017-11-28T14:53:20.807Z,"44km W of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-11-28T14:24:11.540Z,-17.5716,-14.0768,10,4.9,mb,,79,8.14,0.82,us,us2000bvde,2017-11-28T15:35:55.040Z,"Southern Mid-Atlantic Ridge",earthquake,6.9,1.8,0.094,35,reviewed,us,us
2017-11-28T14:23:08.330Z,33.5055,-116.4186667,9.76,0.82,ml,22,113,0.01879,0.19,ci,ci37819351,2017-11-28T14:58:18.450Z,"20km SSW of La Quinta, CA",earthquake,0.49,0.52,0.113,19,reviewed,ci,ci
2017-11-28T14:19:50.590Z,32.944,-100.8859,4.48,2.6,mb_lg,,54,0.082,0.44,us,us2000bvd7,2017-11-28T15:05:52.426Z,"25km N of Snyder, Texas",earthquake,1.3,6,0.128,16,reviewed,us,us
2017-11-28T14:19:27.920Z,36.4908333,-89.5536667,8.87,1.41,md,16,110,0.04898,0.04,nm,nm60211596,2017-11-28T16:40:33.980Z,"10km SSW of New Madrid, Missouri",earthquake,0.43,0.73,0.116,6,reviewed,nm,nm
2017-11-28T14:08:33.760Z,33.4858333,-116.7885,4.83,0.79,ml,25,95,0.02826,0.14,ci,ci37819335,2017-11-28T18:10:33.261Z,"9km NE of Aguanga, CA",earthquake,0.23,0.69,0.088,14,reviewed,ci,ci
2017-11-28T13:56:54.885Z,59.7766,-136.4439,0,2.4,ml,,,,0.69,ak,ak17398100,2017-11-28T14:02:05.500Z,"72km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-11-28T13:56:15.850Z,37.5021667,-118.8531667,2.13,0.99,md,16,233,0.08977,0.1,nc,nc72931775,2017-11-28T17:59:01.858Z,"19km SSE of Mammoth Lakes, California",earthquake,0.76,3.28,0.199,14,reviewed,nc,nc
2017-11-28T13:55:41.566Z,62.9721,-148.0847,58.6,2.3,ml,,,,0.54,ak,ak17398096,2017-11-28T14:02:05.286Z,"63km SE of Cantwell, Alaska",earthquake,,1.4,,,automatic,ak,ak
2017-11-28T13:53:14.260Z,37.4951668,-118.8336639,-0.58,1.31,md,8,215,0.0894,0.04,nc,nc72931770,2017-11-28T15:26:03.340Z,"20km SE of Mammoth Lakes, California",earthquake,1.07,7.8,0.19,7,automatic,nc,nc
2017-11-28T13:15:45.400Z,72.5964,3.251,10,5.6,mww,,27,6.492,0.68,us,us2000bvcw,2017-11-28T18:42:02.040Z,"Norwegian Sea",earthquake,5.9,1.7,0.066,22,reviewed,us,us
2017-11-28T13:10:16.948Z,39.0112,-118.1729,8.1,1.4,ml,10,141.74,0.067,0.1424,nn,nn00613753,2017-11-29T02:36:27.100Z,"26km NW of Gabbs, Nevada",earthquake,,2.2,0.23,6,reviewed,nn,nn
2017-11-28T13:10:07.850Z,37.2675018,-121.9868317,2.8,1.63,md,10,100,0.06156,0.09,nc,nc72931765,2017-11-28T15:00:04.272Z,"3km SW of Campbell, California",earthquake,0.43,1.65,0.14,11,automatic,nc,nc
2017-11-28T13:02:40.840Z,34.5418333,-118.1481667,9.65,1.32,ml,26,77,0.06316,0.11,ci,ci37819287,2017-11-28T14:17:33.695Z,"5km NNW of Vincent, CA",earthquake,0.23,0.43,0.232,27,reviewed,ci,ci
2017-11-28T12:46:48.430Z,38.8125,-122.8130035,2.34,1.18,md,17,91,0.01112,0.04,nc,nc72931760,2017-11-28T14:35:02.210Z,"6km NW of The Geysers, California",earthquake,0.26,0.41,0.17,4,automatic,nc,nc
2017-11-28T12:44:51.220Z,4.0069,126.801,46.2,4.6,mb,,136,3.262,0.56,us,us2000bvcr,2017-11-28T12:57:35.040Z,"214km SE of Sarangani, Philippines",earthquake,9.7,9.1,0.101,29,reviewed,us,us
2017-11-28T12:37:04.330Z,36.2872,-97.5166,4.35,2.6,mb_lg,,27,0.211,0.51,us,us2000bvcp,2017-11-28T20:39:39.915Z,"20km W of Perry, Oklahoma",earthquake,1,7.3,0.124,17,reviewed,us,us
2017-11-28T12:28:12.210Z,46.8636667,-112.532,13.49,0.14,md,9,148,0.125,0.07,mb,mb80271879,2017-11-28T16:27:36.970Z,"15km SE of Lincoln, Montana",earthquake,0.77,1.04,0.245,2,reviewed,mb,mb
2017-11-28T12:21:21.940Z,33.5131667,-116.4635,4.69,1.69,ml,56,58,0.03319,0.2,ci,ci37819255,2017-11-28T14:18:24.920Z,"20km ESE of Anza, CA",earthquake,0.21,0.56,0.167,26,reviewed,ci,ci
2017-11-28T12:12:54.030Z,38.8240013,-122.7981644,3.91,0.88,md,8,136,0.009323,0.02,nc,nc72931745,2017-11-28T13:51:05.089Z,"6km W of Cobb, California",earthquake,0.89,1.13,0.01,3,automatic,nc,nc
2017-11-28T12:11:26.505Z,38.3579,-118.9245,9.8,1,ml,5,182.35,0.346,0.1103,nn,nn00613791,2017-11-29T02:37:15.565Z,"29km ENE of Bridgeport, California",earthquake,,17.2,0.01,2,reviewed,nn,nn
2017-11-28T12:07:31.820Z,37.609,-118.8316667,2.88,0.35,md,7,179,0.01905,0.06,nc,nc72931740,2017-11-28T17:52:02.843Z,"13km ESE of Mammoth Lakes, California",earthquake,0.86,1.02,0.105,6,reviewed,nc,nc
2017-11-28T11:45:52.979Z,36.6621,-116.2862,9.2,-0.1,ml,13,101.74,0.046,0.128,nn,nn00613789,2017-11-29T02:37:14.111Z,"50km ESE of Beatty, Nevada",earthquake,,1.3,0.29,3,reviewed,nn,nn
2017-11-28T11:41:44.760Z,45.1335,-122.6171667,16.92,1.88,ml,15,78,0.122,0.21,uw,uw61331527,2017-11-28T18:36:35.320Z,"3km WSW of Molalla, Oregon",earthquake,0.38,1.05,0.147,18,reviewed,uw,uw
2017-11-28T11:25:25.390Z,36.908165,-121.3525009,8.2,1.54,md,15,96,0.0396,0.07,nc,nc72931735,2017-11-28T13:23:02.015Z,"7km NE of Hollister, California",earthquake,0.38,0.58,0.08,12,automatic,nc,nc
2017-11-28T11:16:20.896Z,61.4288,-152.3144,10,0.7,ml,,,,0.41,ak,ak17397506,2017-11-28T17:56:15.427Z,"99km NNW of Nikiski, Alaska",earthquake,,0,,,reviewed,ak,ak
2017-11-28T11:11:50.780Z,38.8176651,-122.8058319,2.37,0.9,md,9,85,0.006612,0.01,nc,nc72931730,2017-11-28T11:27:03.747Z,"6km NW of The Geysers, California",earthquake,0.65,1.27,0.04,2,automatic,nc,nc
2017-11-28T11:01:44.295Z,64.9659,-147.7548,12,0.8,ml,,,,0.84,ak,ak17397502,2017-11-28T11:07:40.380Z,"12km N of College, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-11-28T11:01:27.408Z,61.4811,-149.9075,34.5,1.7,ml,,,,0.59,ak,ak17397501,2017-11-28T11:07:40.583Z,"5km SSE of Big Lake, Alaska",earthquake,,0.1,,,automatic,ak,ak
